Title,LastName,PreferredName,Electorate,State,PartyAbb,Minister,Position,House,EOAddress,POAddress,MinAddress,Phone,MinPhone,Fax,Email,Web,LastUpdated
Mr,Atkinson,Bruce,Eastern Metropolitan,Vic,LP,,,Legislative Council,"R19B,  Level 3, West 5 Car Park Entrance, Eastland Shopping Centre, 171-175 Maroondah Highway, Ringwood, VIC, 3134","PO Box 508, Ringwood, VIC, 3134",,(03) 9877 7188,,,bruce.atkinson@parliament.vic.gov.au,,29/06/2021
The Hon.,Davis,David,Southern Metropolitan,Vic,LP,"Shadow Minister for Arts and Creative Industries, Shadow Treasurer","Leader of the Opposition in the Legislative Council, Leader of the Liberal Party in the Legislative Council",Legislative Council,"1/670 Chapel Street, South Yarra, VIC, 3141",,,(03) 9827 6655,,,david.davis@parliament.vic.gov.au,,13/09/2021
The Hon.,Rich-Phillips,Gordon,South Eastern Metropolitan,Vic,LP,,Secretary of the Parliamentary Liberal Party,Legislative Council,"Suite 1, 31 Princes Highway, Dandenong, VIC, 3175",,,(03) 9794 7667,,,gordon.rich-phillips@parliament.vic.gov.au,,13/09/2021
Mr,Gepp,Mark,Northern Victoria,Vic,ALP,,,Legislative Council,"Tenancy 3, 80 High Street, Woodend, VIC, 3442",,,(03) 5427 2444,,,mark.gepp@parliament.vic.gov.au,,28/06/2021
Ms,Shing,Harriet,Eastern Victoria,Vic,ALP,,"Parliamentary Secretary for Creative Industries, Parliamentary Secretary for Equality, Parliamentary Secretary for Water",Legislative Council,"Ground Floor, 216 Commercial Road, Morwell, VIC, 3840",,,(03) 5134 8000,,,harriet.shing@parliament.vic.gov.au,"http://www.harrietshing.com.au, http://facebook.com/harrietshingmp, http://twitter.com/shingvworld",28/06/2021
The Hon.,Somyurek,Adem,South Eastern Metropolitan,Vic,Ind,,,Legislative Council,"Suite 3, Level 2, 55 St Andrews Place, East Melbourne, VIC, 3002",,,(03) 9794 0699,,,adem.somyurek@parliament.vic.gov.au,"https://www.twitter.com/AdemSomyurek, https://www.facebook.com/ademsomyurek/",28/06/2021
The Hon.,Lovell,Wendy,Northern Victoria,Vic,LP,,Deputy President of the Legislative Council,Legislative Council,"222 Wyndham Street, Shepparton, VIC, 3630",,,(03) 5821 6668,,,wendy.lovell@parliament.vic.gov.au,"http://wendylovell.com.au, http://facebook.com/wendylovellMP, http://twitter.com/wendylovellmp",28/06/2021
The Hon.,O'Donohue,Edward,Eastern Victoria,Vic,LP,,,Legislative Council,"51 James Street, Pakenham, VIC, 3810","PO Box 817, Pakenham, VIC, 3810",,(03) 5941 1112,,,Edward.ODonohue@parliament.vic.gov.au,"http://www.edwardodonohue.com.au, http://www.facebook.com/ODonohueMLC, http://twitter.com/odonohuemlc",13/09/2021
Mr,Finn,Bernie,Western Metropolitan,Vic,LP,,Opposition Whip in Legislative Council,Legislative Council,"Suite 101, 19 Lacy Street, Braybrook, VIC, 3019",,,(03) 9317 5900,,,bernie.finn@parliament.vic.gov.au,,13/09/2021
The Hon.,Pulford,Jaala,Western Victoria,Vic,ALP,"Minister for Employment, Minister for Innovation, Medical Research and the Digital Economy, Minister for Small Business, Minister for Resources",,Legislative Council,"211 Dana Street, Ballarat, VIC, 3350",,"Level 16, 121 Exhibition Street, Melbourne, VIC, 3000",(03) 5332 2405,(03) 8392 6006,,jaala.pulford@parliament.vic.gov.au,"https://www.facebook.com/JaalaPulfordMP, http://www.twitter.com/jaalapulford",23/08/2021
The Hon.,Tierney,Gayle,Western Victoria,Vic,ALP,"Minister for Training and Skills, Minister for Higher Education",Deputy Leader of the Government in the Legislative Council,Legislative Council,"Ground Floor, 1 Yarra Street, Geelong, VIC, 3220",,"Level 1, 2 Treasury Place, East Melbourne, VIC, 3002",(03) 5224 2088,(03) 9637 3196,,gayle.tierney@parliament.vic.gov.au,,27/07/2021
The Hon.,Leane,Shaun,Eastern Metropolitan,Vic,ALP,"Minister for Local Government, Minister for Suburban Development, Minister for Veterans",,Legislative Council,"Suite 3, Level 2, 420 Burwood Highway, Wantirna, VIC, 3152","PO Box 4307, Knox City Centre, VIC, 3152","Level 16, 121 Exhibition Street, Melbourne, VIC, 3000",(03) 9887 0255,8392 2240,,shaun.leane@parliament.vic.gov.au,"http://www.shaunleanemp.com.au, http://twitter.com/ShaunLeaneMP",16/09/2021
The Hon.,Elasmar,Nazih,Northern Metropolitan,Vic,ALP,,President of the Legislative Council,Legislative Council,"352 Bell Street, Preston, VIC, 3072",,,(03) 9981 3547,,,nazih.elasmar@parliament.vic.gov.au,,13/07/2021
Dr,Ratnam,Samantha,Northern Metropolitan,Vic,GRN,,"Leader of The Victorian Greens, Spokesperson for Housing and Planning, Spokesperson for Industrial Relations, Spokesperson for Aboriginal Affairs, Spokesperson for Local Government, Spokesperson for Multiculturalism, Spokesperson for Consumer Affairs, Spokesperson for Women, Spokesperson for Community Services, Spokesperson for Gambling, Spokesperson for Animals",Legislative Council,"Suite G01, 60 Leicester Street, Carlton, VIC, 3053",,,(03) 9348 2622,,,samantha.ratnam@parliament.vic.gov.au,"https://greens.org.au/vic/samantharatnam, https://www.facebook.com/SamanthaRatnamGreens, http://twitter.com/SamanthaRatnam",08/07/2021
The Hon.,Garrett,Jane,Eastern Victoria,Vic,ALP,,Parliamentary Secretary for Jobs,Legislative Council,"Unit 1, 23 James Street, Pakenham, VIC, 3810",,,(03) 5940 5010,,,jane.garrett@parliament.vic.gov.au,"http://www.janegarrett.org.au, http://www.facebook.com/JaneGarrettMP, http://twitter.com/Jane_GarrettMP",28/06/2021
Mr,Ondarchie,Craig,Northern Metropolitan,Vic,LP,"Shadow Minister for Energy and Renewables, Shadow Minister for Multicultural Affairs and Citizenship, Shadow Minister for Communities Recovery",,Legislative Council,"27a AXIS Centre, 797 Plenty Road, South Morang, VIC, 3752",,,(03) 9422 0099,,,craig.ondarchie@parliament.vic.gov.au,,13/09/2021
Ms,Crozier,Georgie,Southern Metropolitan,Vic,LP,"Shadow Minister for Health, Shadow Minister for Ambulance Services","Deputy Leader of the Opposition in the Legislative Council, Deputy Leader of the Liberal Party in the Legislative Council",Legislative Council,"Suite 1, 780 Riversdale Road, Camberwell, VIC, 3124",,,(03) 7005 8699,,,georgie.crozier@parliament.vic.gov.au,,28/06/2021
Mr,Melhem,Cesar,Western Metropolitan,Vic,ALP,,Parliamentary Secretary for Training and Skills,Legislative Council,"231 Hyde Street, Yarraville, VIC, 3013",,,(03) 9689 6536,,,cesar.melhem@parliament.vic.gov.au,,28/06/2021
Mr,Bourman,Jeff,Eastern Victoria,Vic,SFP,,,Legislative Council,"Unit 1, 9 Napier Street, Warragul, VIC, 3820",,,(03) 5623 2999,,,jeff.bourman@parliament.vic.gov.au,,28/06/2021
The Hon.,Symes,Jaclyn,Northern Victoria,Vic,ALP,"Attorney-General, Minister for Emergency Services",Leader of the Government in the Legislative Council,Legislative Council,"49a High Street, Wallan, VIC, 3756",,"Level 26,121 Exhibition Street, Melbourne, VIC, 3000",(03) 5783 2000,03 8684 1111,,jaclyn.symes@parliament.vic.gov.au,"http://www.jaclynsymes.com.au/, http://twitter.com/JaclynSymes",23/08/2021
Ms,Patten,Fiona,Northern Metropolitan,Vic,RP,,,Legislative Council,"Unit 1, 747 Sydney Road, Brunswick, VIC, 3056",,,(03) 9386 4400,,,fiona.patten@parliament.vic.gov.au,"http://fionapatten.com, https://www.facebook.com/FionaPattenMP/, http://twitter.com/fionapattenmlc",28/06/2021
Ms,Bath,Melina,Eastern Victoria,Vic,NAT,"Shadow Assistant Minister for Public Land Use, Shadow Assistant Minister for Education",,Legislative Council,"Shop 2, 181 Franklin Street, Traralgon, VIC, 3844","PO Box 1506, Traralgon, VIC, 3844",,(03) 5174 7066,,,melina.bath@parliament.vic.gov.au,,13/09/2021
Mr,Tarlamis,Lee,South Eastern Metropolitan,Vic,ALP,,,Legislative Council,"16 Princes Highway, Dandenong, VIC, 3175",,,(03) 9793 2000,,,lee.tarlamis@parliament.vic.gov.au,,28/06/2021
